Pokedex Number,Pokemon,Link,HP,Attack,Defense,Speed,Special Attack,Special Defense,Stat Total,Variation,Category,Type 1,Type 2,Height (m),Weight (kg),Generation
479,Rotom,https://bulbapedia.bulbagarden.net/wiki/Rotom_(Pok%C3%A9mon),50,65,107,86,105,107,520,Heat Rotom,Plasma Pokémon,Electric,Ghost,0.3,0.3,4.0
479,Rotom,https://bulbapedia.bulbagarden.net/wiki/Rotom_(Pok%C3%A9mon),50,65,107,86,105,107,520,Wash Rotom,Plasma Pokémon,Electric,Ghost,0.3,0.3,4.0
479,Rotom,https://bulbapedia.bulbagarden.net/wiki/Rotom_(Pok%C3%A9mon),50,65,107,86,105,107,520,Frost Rotom,Plasma Pokémon,Electric,Ghost,0.3,0.3,4.0
479,Rotom,https://bulbapedia.bulbagarden.net/wiki/Rotom_(Pok%C3%A9mon),50,65,107,86,105,107,520,Fan Rotom,Plasma Pokémon,Electric,Ghost,0.3,0.3,4.0
479,Rotom,https://bulbapedia.bulbagarden.net/wiki/Rotom_(Pok%C3%A9mon),50,65,107,86,105,107,520,Mow Rotom,Plasma Pokémon,Electric,Ghost,0.3,0.3,4.0
480,Uxie,https://bulbapedia.bulbagarden.net/wiki/Uxie_(Pok%C3%A9mon),75,75,130,95,75,130,580,,Knowledge Pokémon,Psychic,,0.3,0.3,4.0
481,Mesprit,https://bulbapedia.bulbagarden.net/wiki/Mesprit_(Pok%C3%A9mon),80,105,105,80,105,105,580,,Emotion Pokémon,Psychic,,0.3,0.3,4.0
482,Azelf,https://bulbapedia.bulbagarden.net/wiki/Azelf_(Pok%C3%A9mon),75,125,70,115,125,70,580,,Willpower Pokémon,Psychic,,0.3,0.3,4.0
483,Dialga,https://bulbapedia.bulbagarden.net/wiki/Dialga_(Pok%C3%A9mon),100,120,120,90,150,100,680,,Temporal Pokémon,Steel,Dragon,5.4,683.0,4.0
483,Dialga,https://bulbapedia.bulbagarden.net/wiki/Dialga_(Pok%C3%A9mon),100,100,120,90,150,120,680,Origin Forme,Temporal Pokémon,Steel,Dragon,5.4,683.0,4.0
484,Palkia,https://bulbapedia.bulbagarden.net/wiki/Palkia_(Pok%C3%A9mon),90,120,100,100,150,120,680,,Spatial Pokémon,Water,Dragon,4.2,336.0,4.0
484,Palkia,https://bulbapedia.bulbagarden.net/wiki/Palkia_(Pok%C3%A9mon),90,100,100,120,150,120,680,Origin Forme,Spatial Pokémon,Water,Dragon,4.2,336.0,4.0
485,Heatran,https://bulbapedia.bulbagarden.net/wiki/Heatran_(Pok%C3%A9mon),91,90,106,77,130,106,600,,Lava Dome Pokémon,Fire,Steel,1.7,430.0,4.0
486,Regigigas,https://bulbapedia.bulbagarden.net/wiki/Regigigas_(Pok%C3%A9mon),110,160,110,100,80,110,670,,Colossal Pokémon,Normal,,3.7,420.0,4.0
487,Giratina,https://bulbapedia.bulbagarden.net/wiki/Giratina_(Pok%C3%A9mon),150,100,120,90,100,120,680,Altered Forme,Renegade Pokémon,Ghost,Dragon,4.5,750.0,4.0
487,Giratina,https://bulbapedia.bulbagarden.net/wiki/Giratina_(Pok%C3%A9mon),150,120,100,90,120,100,680,Origin Forme,Renegade Pokémon,Ghost,Dragon,4.5,750.0,4.0
488,Cresselia,https://bulbapedia.bulbagarden.net/wiki/Cresselia_(Pok%C3%A9mon),120,70,110,85,75,120,580,,Lunar Pokémon,Psychic,,1.5,85.6,4.0
489,Phione,https://bulbapedia.bulbagarden.net/wiki/Phione_(Pok%C3%A9mon),80,80,80,80,80,80,480,,Sea Drifter Pokémon,Water,,0.4,3.1,4.0
490,Manaphy,https://bulbapedia.bulbagarden.net/wiki/Manaphy_(Pok%C3%A9mon),100,100,100,100,100,100,600,,Seafaring Pokémon,Water,,0.3,1.4,4.0
491,Darkrai,https://bulbapedia.bulbagarden.net/wiki/Darkrai_(Pok%C3%A9mon),70,90,90,125,135,90,600,,Pitch-Black Pokémon,Dark,,1.5,50.5,4.0
492,Shaym,https://bulbapedia.bulbagarden.net/wiki/Shaymin_(Pok%C3%A9mon),100,100,100,100,100,100,600,in Land Forme,,,,,,4.0
492,Shaymin,https://bulbapedia.bulbagarden.net/wiki/Shaymin_(Pok%C3%A9mon),100,103,75,127,120,75,600,Sky Forme,Gratitude Pokémon,Grass,,0.2,2.1,4.0
493,Arceus,https://bulbapedia.bulbagarden.net/wiki/Arceus_(Pok%C3%A9mon),120,120,120,120,120,120,720,,Alpha Pokémon,Normal,,3.2,320.0,4.0
494,Victini,https://bulbapedia.bulbagarden.net/wiki/Victini_(Pok%C3%A9mon),100,100,100,100,100,100,600,,Victory Pokémon,Psychic,Fire,0.4,4.0,5.0
495,Snivy,https://bulbapedia.bulbagarden.net/wiki/Snivy_(Pok%C3%A9mon),45,45,55,63,45,55,308,,Grass Snake Pokémon,Grass,,0.6,8.1,5.0
496,Servine,https://bulbapedia.bulbagarden.net/wiki/Servine_(Pok%C3%A9mon),60,60,75,83,60,75,413,,Grass Snake Pokémon,Grass,,0.8,16.0,5.0
497,Serperior,https://bulbapedia.bulbagarden.net/wiki/Serperior_(Pok%C3%A9mon),75,75,95,113,75,95,528,,Regal Pokémon,Grass,,3.3,63.0,5.0
498,Tepig,https://bulbapedia.bulbagarden.net/wiki/Tepig_(Pok%C3%A9mon),65,63,45,45,45,45,308,,Fire Pig Pokémon,Fire,,0.5,9.9,5.0
499,Pignite,https://bulbapedia.bulbagarden.net/wiki/Pignite_(Pok%C3%A9mon),90,93,55,55,70,55,418,,Fire Pig Pokémon,Fire,Fighting,1.0,55.5,5.0
500,Emboar,https://bulbapedia.bulbagarden.net/wiki/Emboar_(Pok%C3%A9mon),110,123,65,65,100,65,528,,Mega Fire Pig Pokémon,Fire,Fighting,1.6,150.0,5.0
500,Emboar,https://bulbapedia.bulbagarden.net/wiki/Emboar_(Pok%C3%A9mon),110,148,75,75,110,110,628,Mega Emboar,Mega Fire Pig Pokémon,Fire,Fighting,1.6,150.0,5.0
501,Oshawott,https://bulbapedia.bulbagarden.net/wiki/Oshawott_(Pok%C3%A9mon),55,55,45,45,63,45,308,,Sea Otter Pokémon,Water,,0.5,5.9,5.0
502,Dewott,https://bulbapedia.bulbagarden.net/wiki/Dewott_(Pok%C3%A9mon),75,75,60,60,83,60,413,,Discipline Pokémon,Water,,0.8,24.5,5.0
503,Samurott,https://bulbapedia.bulbagarden.net/wiki/Samurott_(Pok%C3%A9mon),95,100,85,70,108,70,528,,Formidable Pokémon,Water,,1.5,94.6,5.0
503,Samurott,https://bulbapedia.bulbagarden.net/wiki/Samurott_(Pok%C3%A9mon),90,108,80,85,100,65,528,Hisuian Samurott,Formidable Pokémon,Water,,1.5,94.6,5.0
504,Patrat,https://bulbapedia.bulbagarden.net/wiki/Patrat_(Pok%C3%A9mon),45,55,39,42,35,39,255,,Scout Pokémon,Normal,,0.5,11.6,5.0
505,Watchog,https://bulbapedia.bulbagarden.net/wiki/Watchog_(Pok%C3%A9mon),60,85,69,77,60,69,420,,Lookout Pokémon,Normal,,1.1,27.0,5.0
506,Lillipup,https://bulbapedia.bulbagarden.net/wiki/Lillipup_(Pok%C3%A9mon),45,60,45,55,25,45,275,,Puppy Pokémon,Normal,,0.4,4.1,5.0
507,Herdier,https://bulbapedia.bulbagarden.net/wiki/Herdier_(Pok%C3%A9mon),65,80,65,60,35,65,370,,Loyal Dog Pokémon,Normal,,0.9,14.7,5.0
508,Stoutland,https://bulbapedia.bulbagarden.net/wiki/Stoutland_(Pok%C3%A9mon),85,110,90,80,45,90,500,,Big-Hearted Pokémon,Normal,,1.2,61.0,5.0
509,Purrloin,https://bulbapedia.bulbagarden.net/wiki/Purrloin_(Pok%C3%A9mon),41,50,37,66,50,37,281,,Devious Pokémon,Dark,,0.4,10.1,5.0
510,Liepard,https://bulbapedia.bulbagarden.net/wiki/Liepard_(Pok%C3%A9mon),64,88,50,106,88,50,446,,Cruel Pokémon,Dark,,1.1,37.5,5.0
511,Pansage,https://bulbapedia.bulbagarden.net/wiki/Pansage_(Pok%C3%A9mon),50,53,48,64,53,48,316,,Grass Monkey Pokémon,Grass,,0.6,10.5,5.0
512,Simisage,https://bulbapedia.bulbagarden.net/wiki/Simisage_(Pok%C3%A9mon),75,98,63,101,98,63,498,,Thorn Monkey Pokémon,Grass,,1.1,30.5,5.0
513,Pansear,https://bulbapedia.bulbagarden.net/wiki/Pansear_(Pok%C3%A9mon),50,53,48,64,53,48,316,,High Temp Pokémon,Fire,,0.6,11.0,5.0
514,Simisear,https://bulbapedia.bulbagarden.net/wiki/Simisear_(Pok%C3%A9mon),75,98,63,101,98,63,498,,Ember Pokémon,Fire,,1.0,28.0,5.0
515,Panpour,https://bulbapedia.bulbagarden.net/wiki/Panpour_(Pok%C3%A9mon),50,53,48,64,53,48,316,,Spray Pokémon,Water,,0.6,13.5,5.0
516,Simipour,https://bulbapedia.bulbagarden.net/wiki/Simipour_(Pok%C3%A9mon),75,98,63,101,98,63,498,,Geyser Pokémon,Water,,1.0,29.0,5.0
517,Munna,https://bulbapedia.bulbagarden.net/wiki/Munna_(Pok%C3%A9mon),76,25,45,24,67,55,292,,Dream Eater Pokémon,Psychic,,0.6,23.3,5.0
518,Musharna,https://bulbapedia.bulbagarden.net/wiki/Musharna_(Pok%C3%A9mon),116,55,85,29,107,95,487,,Drowsing Pokémon,Psychic,,1.1,60.5,5.0
519,Pidove,https://bulbapedia.bulbagarden.net/wiki/Pidove_(Pok%C3%A9mon),50,55,50,43,36,30,264,,Tiny Pigeon Pokémon,Normal,Flying,0.3,2.1,5.0
520,Tranquill,https://bulbapedia.bulbagarden.net/wiki/Tranquill_(Pok%C3%A9mon),62,77,62,65,50,42,358,,Wild Pigeon Pokémon,Normal,Flying,0.6,15.0,5.0
521,Unfezant,https://bulbapedia.bulbagarden.net/wiki/Unfezant_(Pok%C3%A9mon),80,115,80,93,65,55,488,,Proud Pokémon,Normal,Flying,1.2,29.0,5.0
522,Blitzle,https://bulbapedia.bulbagarden.net/wiki/Blitzle_(Pok%C3%A9mon),45,60,32,76,50,32,295,,Electrified Pokémon,Electric,,0.8,29.8,5.0
523,Zebstrika,https://bulbapedia.bulbagarden.net/wiki/Zebstrika_(Pok%C3%A9mon),75,100,63,116,80,63,497,,Thunderbolt Pokémon,Electric,,1.6,79.5,5.0
524,Roggenrola,https://bulbapedia.bulbagarden.net/wiki/Roggenrola_(Pok%C3%A9mon),55,75,85,15,25,25,280,,Mantle Pokémon,Rock,,0.4,18.0,5.0
525,Boldore,https://bulbapedia.bulbagarden.net/wiki/Boldore_(Pok%C3%A9mon),70,105,105,20,50,40,390,,Ore Pokémon,Rock,,0.9,102.0,5.0
526,Gigalith,https://bulbapedia.bulbagarden.net/wiki/Gigalith_(Pok%C3%A9mon),85,135,130,25,60,80,515,,Compressed Pokémon,Rock,,1.7,260.0,5.0
527,Woobat,https://bulbapedia.bulbagarden.net/wiki/Woobat_(Pok%C3%A9mon),65,45,43,72,55,43,323,,Bat Pokémon,Psychic,Flying,0.4,2.1,5.0
528,Swoobat,https://bulbapedia.bulbagarden.net/wiki/Swoobat_(Pok%C3%A9mon),67,57,55,114,77,55,425,,Courting Pokémon,Psychic,Flying,0.9,10.5,5.0
529,Drilbur,https://bulbapedia.bulbagarden.net/wiki/Drilbur_(Pok%C3%A9mon),60,85,40,68,30,45,328,,Mole Pokémon,Ground,,0.3,8.5,5.0
530,Excadrill,https://bulbapedia.bulbagarden.net/wiki/Excadrill_(Pok%C3%A9mon),110,135,60,88,50,65,508,,Subterrene Pokémon,Ground,Steel,0.7,40.4,5.0
530,Excadrill,https://bulbapedia.bulbagarden.net/wiki/Excadrill_(Pok%C3%A9mon),110,165,100,103,65,65,608,Mega Excadrill,Subterrene Pokémon,Ground,Steel,0.7,40.4,5.0
531,Audino,https://bulbapedia.bulbagarden.net/wiki/Audino_(Pok%C3%A9mon),103,60,86,50,60,86,445,,Hearing Pokémon,Normal,,1.1,31.0,5.0
531,Audino,https://bulbapedia.bulbagarden.net/wiki/Audino_(Pok%C3%A9mon),103,60,126,50,80,126,545,Mega Audino,Hearing Pokémon,Normal,,1.1,31.0,5.0
532,Timburr,https://bulbapedia.bulbagarden.net/wiki/Timburr_(Pok%C3%A9mon),75,80,55,35,25,35,305,,Muscular Pokémon,Fighting,,0.6,12.5,5.0
533,Gurdurr,https://bulbapedia.bulbagarden.net/wiki/Gurdurr_(Pok%C3%A9mon),85,105,85,40,40,50,405,,Muscular Pokémon,Fighting,,1.2,40.0,5.0
534,Conkeldurr,https://bulbapedia.bulbagarden.net/wiki/Conkeldurr_(Pok%C3%A9mon),105,140,95,45,55,65,505,,Muscular Pokémon,Fighting,,1.4,87.0,5.0
535,Tympole,https://bulbapedia.bulbagarden.net/wiki/Tympole_(Pok%C3%A9mon),50,50,40,64,50,40,294,,Tadpole Pokémon,Water,,0.5,4.5,5.0
536,Palpitoad,https://bulbapedia.bulbagarden.net/wiki/Palpitoad_(Pok%C3%A9mon),75,65,55,69,65,55,384,,Vibration Pokémon,Water,Ground,0.8,17.0,5.0
537,Seismitoad,https://bulbapedia.bulbagarden.net/wiki/Seismitoad_(Pok%C3%A9mon),105,95,75,74,85,75,509,,Vibration Pokémon,Water,Ground,1.5,62.0,5.0
538,Throh,https://bulbapedia.bulbagarden.net/wiki/Throh_(Pok%C3%A9mon),120,100,85,45,30,85,465,,Judo Pokémon,Fighting,,1.3,55.5,5.0
539,Sawk,https://bulbapedia.bulbagarden.net/wiki/Sawk_(Pok%C3%A9mon),75,125,75,85,30,75,465,,Karate Pokémon,Fighting,,1.4,51.0,5.0
540,Sewaddle,https://bulbapedia.bulbagarden.net/wiki/Sewaddle_(Pok%C3%A9mon),45,53,70,42,40,60,310,,Sewing Pokémon,Bug,Grass,0.3,2.5,5.0
541,Swadloon,https://bulbapedia.bulbagarden.net/wiki/Swadloon_(Pok%C3%A9mon),55,63,90,42,50,80,380,,Leaf-Wrapped Pokémon,Bug,Grass,0.5,7.3,5.0
542,Leavanny,https://bulbapedia.bulbagarden.net/wiki/Leavanny_(Pok%C3%A9mon),75,103,80,92,70,80,500,,Nurturing Pokémon,Bug,Grass,1.2,20.5,5.0
543,Venipede,https://bulbapedia.bulbagarden.net/wiki/Venipede_(Pok%C3%A9mon),30,45,59,57,30,39,260,,Centipede Pokémon,Bug,Poison,0.4,5.3,5.0
544,Whirlipede,https://bulbapedia.bulbagarden.net/wiki/Whirlipede_(Pok%C3%A9mon),40,55,99,47,40,79,360,,Curlipede Pokémon,Bug,Poison,1.2,58.5,5.0
545,Scolipede,https://bulbapedia.bulbagarden.net/wiki/Scolipede_(Pok%C3%A9mon),60,100,89,112,55,69,485,,Megapede Pokémon,Bug,Poison,2.5,200.5,5.0
545,Scolipede,https://bulbapedia.bulbagarden.net/wiki/Scolipede_(Pok%C3%A9mon),60,140,149,62,75,99,585,Mega Scolipede,Megapede Pokémon,Bug,Poison,2.5,200.5,5.0
546,Cottonee,https://bulbapedia.bulbagarden.net/wiki/Cottonee_(Pok%C3%A9mon),40,27,60,66,37,50,280,,Cotton Puff Pokémon,Grass,Fairy,0.3,0.6,5.0
547,Whimsicott,https://bulbapedia.bulbagarden.net/wiki/Whimsicott_(Pok%C3%A9mon),60,67,85,116,77,75,480,,Windveiled Pokémon,Grass,Fairy,0.7,6.6,5.0
548,Petilil,https://bulbapedia.bulbagarden.net/wiki/Petilil_(Pok%C3%A9mon),45,35,50,30,70,50,280,,Bulb Pokémon,Grass,,0.5,6.6,5.0
549,Lilligant,https://bulbapedia.bulbagarden.net/wiki/Lilligant_(Pok%C3%A9mon),70,60,75,90,110,75,480,,Flowering Pokémon,Grass,,1.1,16.3,5.0
549,Lilligant,https://bulbapedia.bulbagarden.net/wiki/Lilligant_(Pok%C3%A9mon),70,105,75,105,50,75,480,Hisuian Lilligant,Flowering Pokémon,Grass,,1.1,16.3,5.0
550,Basculin,https://bulbapedia.bulbagarden.net/wiki/Basculin_(Pok%C3%A9mon),70,92,65,98,80,55,460,,Hostile Pokémon,Water,,1.0,18.0,5.0
551,Sandile,https://bulbapedia.bulbagarden.net/wiki/Sandile_(Pok%C3%A9mon),50,72,35,65,35,35,292,,Desert Croc Pokémon,Ground,Dark,0.7,15.2,5.0
552,Krokorok,https://bulbapedia.bulbagarden.net/wiki/Krokorok_(Pok%C3%A9mon),60,82,45,74,45,45,351,,Desert Croc Pokémon,Ground,Dark,1.0,33.4,5.0
553,Krookodile,https://bulbapedia.bulbagarden.net/wiki/Krookodile_(Pok%C3%A9mon),95,117,80,92,65,70,519,,Intimidation Pokémon,Ground,Dark,1.5,96.3,5.0
554,Darumaka,https://bulbapedia.bulbagarden.net/wiki/Darumaka_(Pok%C3%A9mon),70,90,45,50,15,45,315,,Zen Charm Pokémon,Fire,,0.6,37.5,5.0
554,Darumaka,https://bulbapedia.bulbagarden.net/wiki/Darumaka_(Pok%C3%A9mon),70,90,45,50,15,45,315,Galarian Darumaka,Zen Charm Pokémon,Fire,,0.6,37.5,5.0
555,Darmanitan,https://bulbapedia.bulbagarden.net/wiki/Darmanitan_(Pok%C3%A9mon),105,140,55,95,30,55,480,Standard Mode,Blazing Pokémon,Fire,,1.3,92.9,5.0
555,Darmanitan,https://bulbapedia.bulbagarden.net/wiki/Darmanitan_(Pok%C3%A9mon),105,30,105,55,140,105,540,Zen Mode,Blazing Pokémon,Fire,,1.3,92.9,5.0
555,Darmanitan,https://bulbapedia.bulbagarden.net/wiki/Darmanitan_(Pok%C3%A9mon),105,140,55,95,30,55,480,Galarian Standard Mode,Blazing Pokémon,Fire,,1.3,92.9,5.0
555,Darmanitan,https://bulbapedia.bulbagarden.net/wiki/Darmanitan_(Pok%C3%A9mon),105,160,55,135,30,55,540,Galarian Zen Mode,Blazing Pokémon,Fire,,1.3,92.9,5.0
556,Maractus,https://bulbapedia.bulbagarden.net/wiki/Maractus_(Pok%C3%A9mon),75,86,67,60,106,67,461,,Cactus Pokémon,Grass,,1.0,28.0,5.0
557,Dwebble,https://bulbapedia.bulbagarden.net/wiki/Dwebble_(Pok%C3%A9mon),50,65,85,55,35,35,325,,Rock Inn Pokémon,Bug,Rock,0.3,14.5,5.0
558,Crustle,https://bulbapedia.bulbagarden.net/wiki/Crustle_(Pok%C3%A9mon),70,105,125,45,65,75,485,,Stone Home Pokémon,Bug,Rock,1.4,200.0,5.0
559,Scraggy,https://bulbapedia.bulbagarden.net/wiki/Scraggy_(Pok%C3%A9mon),50,75,70,48,35,70,348,,Shedding Pokémon,Dark,Fighting,0.6,11.8,5.0
560,Scrafty,https://bulbapedia.bulbagarden.net/wiki/Scrafty_(Pok%C3%A9mon),65,90,115,58,45,115,488,,Hoodlum Pokémon,Dark,Fighting,1.1,30.0,5.0
560,Scrafty,https://bulbapedia.bulbagarden.net/wiki/Scrafty_(Pok%C3%A9mon),65,130,135,68,55,135,588,Mega Scrafty,Hoodlum Pokémon,Dark,Fighting,1.1,30.0,5.0
561,Sigilyph,https://bulbapedia.bulbagarden.net/wiki/Sigilyph_(Pok%C3%A9mon),72,58,80,97,103,80,490,,Avianoid Pokémon,Psychic,Flying,1.4,14.0,5.0
562,Yamask,https://bulbapedia.bulbagarden.net/wiki/Yamask_(Pok%C3%A9mon),38,30,85,30,55,65,303,,Spirit Pokémon,Ghost,,0.5,1.5,5.0
562,Yamask,https://bulbapedia.bulbagarden.net/wiki/Yamask_(Pok%C3%A9mon),38,55,85,30,30,65,303,Galarian Yamask,Spirit Pokémon,Ghost,,0.5,1.5,5.0
563,Cofagrigus,https://bulbapedia.bulbagarden.net/wiki/Cofagrigus_(Pok%C3%A9mon),58,50,145,30,95,105,483,,Coffin Pokémon,Ghost,,1.7,76.5,5.0
564,Tirtouga,https://bulbapedia.bulbagarden.net/wiki/Tirtouga_(Pok%C3%A9mon),54,78,103,22,53,45,355,,Prototurtle Pokémon,Water,Rock,0.7,16.5,5.0
565,Carracosta,https://bulbapedia.bulbagarden.net/wiki/Carracosta_(Pok%C3%A9mon),74,108,133,32,83,65,495,,Prototurtle Pokémon,Water,Rock,1.2,81.0,5.0
566,Archen,https://bulbapedia.bulbagarden.net/wiki/Archen_(Pok%C3%A9mon),55,112,45,70,74,45,401,,First Bird Pokémon,Rock,Flying,0.5,9.5,5.0
567,Archeops,https://bulbapedia.bulbagarden.net/wiki/Archeops_(Pok%C3%A9mon),75,140,65,110,112,65,567,,First Bird Pokémon,Rock,Flying,1.4,32.0,5.0
568,Trubbish,https://bulbapedia.bulbagarden.net/wiki/Trubbish_(Pok%C3%A9mon),50,50,62,65,40,62,329,,Trash Bag Pokémon,Poison,,0.6,31.0,5.0
569,Garbodor,https://bulbapedia.bulbagarden.net/wiki/Garbodor_(Pok%C3%A9mon),80,95,82,75,60,82,474,,Trash Heap Pokémon,Poison,,1.9,107.3,5.0
570,Zorua,https://bulbapedia.bulbagarden.net/wiki/Zorua_(Pok%C3%A9mon),40,65,40,65,80,40,330,,Tricky Fox Pokémon,Dark,,0.7,12.5,5.0
570,Zorua,https://bulbapedia.bulbagarden.net/wiki/Zorua_(Pok%C3%A9mon),35,60,40,70,85,40,330,Hisuian Zorua,Tricky Fox Pokémon,Dark,,0.7,12.5,5.0
571,Zoroark,https://bulbapedia.bulbagarden.net/wiki/Zoroark_(Pok%C3%A9mon),60,105,60,105,120,60,510,,Illusion Fox Pokémon,Dark,,1.6,81.1,5.0
571,Zoroark,https://bulbapedia.bulbagarden.net/wiki/Zoroark_(Pok%C3%A9mon),55,100,60,110,125,60,510,Hisuian Zoroark,Illusion Fox Pokémon,Dark,,1.6,81.1,5.0
572,Minccino,https://bulbapedia.bulbagarden.net/wiki/Minccino_(Pok%C3%A9mon),55,50,40,75,40,40,300,,Chinchilla Pokémon,Normal,,0.4,5.8,5.0
573,Cinccino,https://bulbapedia.bulbagarden.net/wiki/Cinccino_(Pok%C3%A9mon),75,95,60,115,65,60,470,,Scarf Pokémon,Normal,,0.5,7.5,5.0
574,Gothita,https://bulbapedia.bulbagarden.net/wiki/Gothita_(Pok%C3%A9mon),45,30,50,45,55,65,290,,Fixation Pokémon,Psychic,,0.4,5.8,5.0
575,Gothorita,https://bulbapedia.bulbagarden.net/wiki/Gothorita_(Pok%C3%A9mon),60,45,70,55,75,85,390,,Manipulate Pokémon,Psychic,,0.7,18.0,5.0
576,Gothitelle,https://bulbapedia.bulbagarden.net/wiki/Gothitelle_(Pok%C3%A9mon),70,55,95,65,95,110,490,,Astral Body Pokémon,Psychic,,1.5,44.0,5.0
577,Solosis,https://bulbapedia.bulbagarden.net/wiki/Solosis_(Pok%C3%A9mon),45,30,40,20,105,50,290,,Cell Pokémon,Psychic,,0.3,1.0,5.0
578,Duosion,https://bulbapedia.bulbagarden.net/wiki/Duosion_(Pok%C3%A9mon),65,40,50,30,125,60,370,,Mitosis Pokémon,Psychic,,0.6,8.0,5.0
579,Reuniclus,https://bulbapedia.bulbagarden.net/wiki/Reuniclus_(Pok%C3%A9mon),110,65,75,30,125,85,490,,Multiplying Pokémon,Psychic,,1.0,20.1,5.0
580,Ducklett,https://bulbapedia.bulbagarden.net/wiki/Ducklett_(Pok%C3%A9mon),62,44,50,55,44,50,305,,Water Bird Pokémon,Water,Flying,0.50,5.5,5.0
581,Swanna,https://bulbapedia.bulbagarden.net/wiki/Swanna_(Pok%C3%A9mon),75,87,63,98,87,63,473,,White Bird Pokémon,Water,Flying,1.3,24.2,5.0
582,Vanillite,https://bulbapedia.bulbagarden.net/wiki/Vanillite_(Pok%C3%A9mon),36,50,50,44,65,60,305,,Fresh Snow Pokémon,Ice,,0.4,5.7,5.0
583,Vanillish,https://bulbapedia.bulbagarden.net/wiki/Vanillish_(Pok%C3%A9mon),51,65,65,59,80,75,395,,Icy Snow Pokémon,Ice,,1.1,41.0,5.0
584,Vanilluxe,https://bulbapedia.bulbagarden.net/wiki/Vanilluxe_(Pok%C3%A9mon),71,95,85,79,110,95,535,,Snowstorm Pokémon,Ice,,1.3,57.5,5.0
585,Deerling,https://bulbapedia.bulbagarden.net/wiki/Deerling_(Pok%C3%A9mon),60,60,50,75,40,50,335,,Season Pokémon,Normal,Grass,0.6,19.5,5.0
586,Sawsbuck,https://bulbapedia.bulbagarden.net/wiki/Sawsbuck_(Pok%C3%A9mon),80,100,70,95,60,70,475,,Season Pokémon,Normal,Grass,1.9,92.5,5.0
587,Emolga,https://bulbapedia.bulbagarden.net/wiki/Emolga_(Pok%C3%A9mon),55,75,60,103,75,60,428,,Sky Squirrel Pokémon,Electric,Flying,0.4,5.0,5.0
588,Karrablast,https://bulbapedia.bulbagarden.net/wiki/Karrablast_(Pok%C3%A9mon),50,75,45,60,40,45,315,,Clamping Pokémon,Bug,,0.5,5.9,5.0
589,Escavalier,https://bulbapedia.bulbagarden.net/wiki/Escavalier_(Pok%C3%A9mon),70,135,105,20,60,105,495,,Cavalry Pokémon,Bug,Steel,1.0,33.0,5.0
590,Foongus,https://bulbapedia.bulbagarden.net/wiki/Foongus_(Pok%C3%A9mon),69,55,45,15,55,55,294,,Mushroom Pokémon,Grass,Poison,0.2,1.0,5.0
591,Amoonguss,https://bulbapedia.bulbagarden.net/wiki/Amoonguss_(Pok%C3%A9mon),114,85,70,30,85,80,464,,Mushroom Pokémon,Grass,Poison,0.6,10.5,5.0
592,Frillish,https://bulbapedia.bulbagarden.net/wiki/Frillish_(Pok%C3%A9mon),55,40,50,40,65,85,335,,Floating Pokémon,Water,Ghost,1.2,33.0,5.0
593,Jellicent,https://bulbapedia.bulbagarden.net/wiki/Jellicent_(Pok%C3%A9mon),100,60,70,60,85,105,480,,Floating Pokémon,Water,Ghost,2.2,135.0,5.0
594,Alomomola,https://bulbapedia.bulbagarden.net/wiki/Alomomola_(Pok%C3%A9mon),165,75,80,65,40,45,470,,Caring Pokémon,Water,,1.2,31.6,5.0
595,Joltik,https://bulbapedia.bulbagarden.net/wiki/Joltik_(Pok%C3%A9mon),50,47,50,65,57,50,319,,Attaching Pokémon,Bug,Electric,0.1,0.6,5.0
596,Galvantula,https://bulbapedia.bulbagarden.net/wiki/Galvantula_(Pok%C3%A9mon),70,77,60,108,97,60,472,,EleSpider Pokémon,Bug,Electric,0.8,14.3,5.0
597,Ferroseed,https://bulbapedia.bulbagarden.net/wiki/Ferroseed_(Pok%C3%A9mon),44,50,91,10,24,86,305,,Thorn Seed Pokémon,Grass,Steel,0.6,18.8,5.0
598,Ferrothorn,https://bulbapedia.bulbagarden.net/wiki/Ferrothorn_(Pok%C3%A9mon),74,94,131,20,54,116,489,,Thorn Pod Pokémon,Grass,Steel,1.0,110.0,5.0
599,Klink,https://bulbapedia.bulbagarden.net/wiki/Klink_(Pok%C3%A9mon),40,55,70,30,45,60,300,,Gear Pokémon,Steel,,0.3,21.0,5.0
600,Klang,https://bulbapedia.bulbagarden.net/wiki/Klang_(Pok%C3%A9mon),60,80,95,50,70,85,440,,Gear Pokémon,Steel,,0.6,51.0,5.0
601,Klinklang,https://bulbapedia.bulbagarden.net/wiki/Klinklang_(Pok%C3%A9mon),60,100,115,90,70,85,520,,Gear Pokémon,Steel,,0.6,81.0,5.0
602,Tynamo,https://bulbapedia.bulbagarden.net/wiki/Tynamo_(Pok%C3%A9mon),35,55,40,60,45,40,275,,EleFish Pokémon,Electric,,0.2,0.3,5.0
603,Eelektrik,https://bulbapedia.bulbagarden.net/wiki/Eelektrik_(Pok%C3%A9mon),65,85,70,40,75,70,405,,EleFish Pokémon,Electric,,1.2,22.0,5.0
604,Eelektross,https://bulbapedia.bulbagarden.net/wiki/Eelektross_(Pok%C3%A9mon),85,115,80,50,105,80,515,,EleFish Pokémon,Electric,,2.1,80.5,5.0
